"AMZN Mktp CA*HF1GR0892   WWW.AMAZON.CAON","04/27/2023","09:54 PM","-71.08"
"COSTCO WHOLESALE W526    MISSISSAUGA  ON","04/26/2023","09:08 PM","-39.89"
"COSTCO GAS W526          MISSISSAUGA  ON","04/26/2023","08:50 PM","-43.28"
"Payment BNS","PAYMENT","TEJINDER","04/26/2023","04:00 AM","1000.00"
"IMMIGRATION CANADA ONL   OTTAWA       ON","04/26/2023","02:22 AM","-100.00"
"GOOGLE *YouTubePremium   g.co/helppay#NS","04/25/2023","11:46 PM","-13.55"
"COSTCO WHOLESALE W162    BRAMPTON     ON","04/24/2023","08:02 PM","-96.04"
"WENDY'S                  BRAMPTON     ON","04/24/2023","05:56 PM","-5.65"
"TIM HORTONS #4321        BRAMPTON     ON","04/24/2023","01:36 AM","-3.35"
"MCDONALD'S #23918  Q04   MISSISSAUGA  ON","04/23/2023","07:29 PM","-3.14"
"MIDWAY INVADER           MISSISSAUGA  ON","04/23/2023","04:00 AM","-8.05"
"ESSO CIRCLE K            BRAMPTON     ON","04/22/2023","11:09 PM","-45.00"
"SVP SPORTS               BRAMPTON     ON","04/22/2023","11:02 PM","-33.89"
"TIM HORTONS #2244        BRAMPTON     ON","04/22/2023","08:43 PM","-15.38"
"ADOBO FRESH BURRITO ME   BRAMPTON     ON","04/22/2023","06:49 PM","-12.42"
"MIDWAY INVADER           MISSISSAUGA  ON","04/22/2023","01:52 AM","-8.86"
"ABC*FUZION FITNESS       BRAMPTON     ON","04/22/2023","12:45 AM","-19.77"
"DOLLARAMA #0958          BRAMPTON     ON","04/21/2023","08:45 PM","-4.52"
"AMZN Mktp CA*HV4WE86S2   WWW.AMAZON.CAON","04/21/2023","07:04 PM","-12.41"
"NATH MEAT                BRAMPTON     ON","04/21/2023","02:18 PM","-20.33"
"AMZN Mktp CA*HV0RS3BZ1   WWW.AMAZON.CAON","04/20/2023","11:26 PM","-33.75"
"TIM HORTONS #3020        BRAMPTON     ON","04/20/2023","07:07 PM","-2.17"
"GINO'S PIZZA #124        BRAMPTON     ON","04/20/2023","01:00 AM","-19.21"
"TIM HORTONS #2244        BRAMPTON     ON","04/18/2023","06:21 PM","-2.17"
"TIM HORTONS #2244        BRAMPTON     ON","04/17/2023","10:07 PM","-1.92"
"NATH MEAT                BRAMPTON     ON","04/17/2023","07:11 PM","-27.00"
"TIM HORTONS #2244        BRAMPTON     ON","04/16/2023","11:40 PM","-4.01"
"ADOBO FRESH BURRITO ME   BRAMPTON     ON","04/16/2023","06:39 PM","-12.42"
"ROYAL PAAN               BRAMPTON     ON","04/16/2023","05:49 PM","-21.47"
"PATANJALI SEWA KENDRA    BRAMPTON     ON","04/16/2023","01:32 AM","-9.03"
"TIM HORTONS #3020        BRAMPTON     ON","04/16/2023","01:13 AM","-3.76"
"NATH MEAT                BRAMPTON     ON","04/15/2023","10:49 PM","-12.43"
"TIM HORTONS #3020        BRAMPTON     ON","04/15/2023","06:49 PM","-2.93"
"ESSO CIRCLE K            BRAMPTON     ON","04/15/2023","05:21 PM","-45.00"
"TIM HORTONS #3020        BRAMPTON     ON","04/15/2023","01:42 AM","-4.07"
"INDIAN FROOTLAND         BRAMPTON     ON","04/15/2023","12:43 AM","-3.99"
"INDIAN FROOTLAND         BRAMPTON     ON","04/14/2023","11:28 PM","-6.77"
"MIDWAY INVADER           MISSISSAUGA  ON","04/14/2023","06:29 PM","-8.86"
"ADOBO FRESH BURRITO ME   BRAMPTON     ON","04/13/2023","10:28 PM","-12.42"
"NATH MEAT                BRAMPTON     ON","04/12/2023","11:42 PM","-14.38"
"TIM HORTONS #2244        BRAMPTON     ON","04/12/2023","03:01 PM","-4.58"
"ADOBO FRESH BURRITO ME   BRAMPTON     ON","04/12/2023","12:51 AM","-12.42"
"SARANGAN'S NF #4493      BRAMPTON     ON","04/12/2023","12:43 AM","-6.99"
"TIM HORTONS #3018        BRAMPTON     ON","04/11/2023","09:02 PM","-2.09"
"TIM HORTONS #2244        BRAMPTON     ON","04/09/2023","09:27 PM","-4.66"
"TIM HORTONS #2244        BRAMPTON     ON","04/09/2023","04:38 PM","-2.09"
"NATH MEAT                BRAMPTON     ON","04/09/2023","04:07 PM","-12.43"
"ROGERS ******8688        888-764-3771 ON","04/09/2023","01:45 PM","-150.09"
"REAL PUNJABI TASTE       BRAMPTON     ON","04/09/2023","01:48 AM","-9.93"
"ADOBO FRESH BURRITO ME   BRAMPTON     ON","04/08/2023","11:57 PM","-12.42"
"REXALL PHARMACY #2386    BRAMPTON     ON","04/08/2023","08:27 PM","-14.74"
"FRESHCO #3889            BRAMPTON     ON","04/08/2023","06:27 PM","-2.81"
"NATH MEAT                BRAMPTON     ON","04/08/2023","01:32 AM","-12.43"
"TIM HORTONS #0693        MISSISSAUGA  ON","04/07/2023","08:39 PM","-5.63"
"ESSO CIRCLE K            MISSISSAUGA  ON","04/07/2023","08:29 PM","-40.00"
"TIM HORTONS #2244        BRAMPTON     ON","04/07/2023","04:59 PM","-2.61"
"ABC*FUZION FITNESS       905-4551770  ON","04/07/2023","10:04 AM","-19.77"
"KING & QUEEN BARBER AN   BRAMPTON     ON","04/06/2023","10:01 PM","-56.50"
"COSTCO WHOLESALE W162    BRAMPTON     ON","04/06/2023","08:23 PM","-3.03"
"COSTCO WHOLESALE W162    BRAMPTON     ON","04/06/2023","07:56 PM","-246.44"
"TALIZE                   BRAMPTON     ON","04/06/2023","06:17 PM","-4.85"
"ADOBO FRESH BURRITO ME   BRAMPTON     ON","04/06/2023","05:36 PM","-9.03"
"TIM HORTONS #2244        BRAMPTON     ON","04/04/2023","05:51 PM","-2.61"
"MASSAGE ADDICT MAVIS     MISSISSAUGA  ON","04/03/2023","09:46 PM","-7.00"
"KRAZY BINZ LIQUIDATION   MISSISSAUGA  ON","04/03/2023","09:22 PM","-22.60"
"TIM HORTONS #2104        MISSISSAUGA  ON","04/03/2023","07:24 PM","-7.67"
"HCM*INTERNATIONAL LANG   877-6435246  ON","04/03/2023","04:07 AM","-250.00"
"Payment BNS","PAYMENT","TEJINDER","04/03/2023","04:00 AM","1000.00"
"FOOK HING RESTURANT      BRAMPTON     ON","04/03/2023","12:38 AM","-15.54"
"PUNJABI CHAAP CORNER C   BRAMPTON     ON","04/02/2023","01:14 AM","-18.62"
"QUEEN AND BRAMALEA ESS   BRAMPTON     ON","04/01/2023","09:22 PM","-40.00"
"NATH MEAT                BRAMPTON     ON","04/01/2023","06:25 PM","-12.43"
"MCDONALD'S #23918  Q04   MISSISSAUGA  ON","04/01/2023","03:33 AM","-3.14"
"MIDWAY INVADER           MISSISSAUGA  ON","04/01/2023","01:35 AM","-8.86"
"NATH MEAT                BRAMPTON     ON","03/31/2023","09:47 PM","-16.90"
"ADOBO FRESH BURRITO ME   BRAMPTON     ON","03/31/2023","06:55 PM","-14.10"
"NATH MEAT                BRAMPTON     ON","03/30/2023","01:05 AM","-10.00"
"PUNJABI CHAAP CORNER C   BRAMPTON     ON","03/29/2023","01:18 AM","-15.80"
"NATH MEAT                BRAMPTON     ON","03/27/2023","06:01 PM","-12.43"
"MILLION DOLLAR RESTAUR   MISSISSAUGA  ON","03/27/2023","02:34 AM","-10.63"
"SARANGAN'S NF #4493      BRAMPTON     ON","03/27/2023","12:04 AM","-1.75"
"MCDONALD'S #23918  Q04   MISSISSAUGA  ON","03/26/2023","05:11 AM","-3.14"
